Object_Name,RA_deg,Dec_deg,l_deg,b_deg,Distance_pc,mu_l_mas_yr,mu_l_err,mu_b_mas_yr,mu_b_err,Radial_Velocity_kms,Radial_Velocity_err,Sigma_v_l_kms,Sigma_v_l_err_up,Sigma_v_l_err_down,Sigma_v_b_kms,Sigma_v_b_err_up,Sigma_v_b_err_down,N_B_stars,N_B_stars_err_up,N_B_stars_err_down,N_O_stars,N_O_stars_err_up,N_O_stars_err_down,N_O_stars_corrected,N_O_stars_corrected_err_up,N_O_stars_corrected_err_down,Total_Stellar_Mass_Msun,Total_Stellar_Mass_err_up,Total_Stellar_Mass_err_down,Vel_Grad_l_mas_deg,Vel_Grad_l_mas_deg_err,Vel_Grad_l_km_pc,Vel_Grad_l_km_pc_err,Vel_Grad_b_mas_deg,Vel_Grad_b_mas_deg_err,Vel_Grad_b_km_pc,Vel_Grad_b_km_pc_err,Expansion_Age_l_Myr,Expansion_Age_l_Myr_err,Expansion_Age_b_Myr,Expansion_Age_b_Myr_err,U_obs_kms,V_obs_kms,W_obs_kms,U_lsr_kms,V_lsr_kms,W_lsr_kms,U_pec_kms,V_pec_kms,W_pec_kms,U_lsr_abs_kms,V_lsr_abs_kms,W_lsr_abs_kms,Beta_rad,v_lsr_kms,V_gal_abs_kms,v_l_kms,v_b_kms,v_lb_kms
Group A,301.45,35.68,72.61,2.06,1894.5,-6.9,0.24,-1.35,0.17,-12.5,2.77,2.2,0.55,0.47,1.55,0.32,0.24,112,3,3,3,1,1,13,4,3,2344,275,252,0.24,0.07,0.07,0.02,0.34,0.04,0.09,0.01,13.98,3.99,10.87,1.21,55.53,-30.03,-12.57,66.63,-17.79,-5.32,14.56,-8.43,-5.32,66.63,221.21,-5.32,0.23,5.44,230.57,-16.42,-5.18,17.21
Group B,304.37,41.43,78.58,3.31,1726.3,-5.47,0.34,-0.59,0.27,-21,10.8,2.72,0.47,0.37,2.18,0.41,0.33,82,3,2,4,1,1,11,4,3,1978,245,224,0.39,0.04,0.11,0.01,-0.03,0.04,-0.01,0.01,8.89,0.81,,,39.78,-29.14,-6.03,50.88,-16.9,1.22,3.66,-11.18,1.22,50.88,222.1,1.22,0.21,-3.55,227.82,-5.8,1.81,6.07
Group C,305.47,37.87,76.11,0.54,1713.1,-6.57,0.27,-1.19,0.12,-19.2,2.98,2.24,0.46,0.35,0.96,0.22,0.18,76,2,3,10,1,2,12,4,3,2165,245,224,0.38,0.04,0.1,0.01,0.1,0.04,0.03,0.01,7.93,0.8,32.62,10.87,47.21,-31.36,-9.84,58.31,-19.12,-2.59,11.7,-11.82,-2.59,58.31,219.88,-2.59,0.21,-1.8,227.18,-14.19,-2.51,14.42
Group D,304.34,37.64,75.44,1.19,2000.1,-5.55,0.16,-1.34,0.14,-7,3.88,1.53,0.45,0.41,1.32,0.3,0.26,75,2,3,4,2,1,11,4,3,1569,215,192,0.2,0.05,0.05,0.01,0.07,0.03,0.02,0.01,19.57,3.91,,,49.24,-19.75,-12.85,60.34,-7.51,-5.6,2.79,0.21,-5.6,60.34,231.49,-5.6,0.24,10.55,239.21,-2.65,-5.62,6.21
Group E,308.08,41.3,80.19,0.85,1674,-4.72,0.27,-0.96,0.25,-12.35,2.06,2.15,0.66,0.45,1.96,0.52,0.29,110,4,3,35,2,3,23,6,5,4198,354,319,0.43,0.06,0.12,0.01,0.16,0.05,0.04,0.01,8.37,0.7,24.46,6.11,34.82,-18.44,-7.8,45.92,-6.2,-0.55,-1.94,-1.72,-0.55,45.92,232.8,-0.55,0.2,4.59,237.28,1.62,-0.52,1.7
Group F,302.95,36.58,74.04,1.44,1985.2,-6.11,0.3,-1.33,0.1,-13.48,5.06,2.8,0.58,0.48,1.5,0.3,0.25,139,3,3,5,2,1,17,4,5,2955,349,269,0.35,0.03,0.09,0.01,0.06,0.03,0.02,0.01,10.87,1.21,,,51.66,-28.46,-12.85,62.76,-16.22,-5.6,7.72,-7.68,-5.6,62.76,222.78,-5.6,0.24,4.25,231.32,-9.53,-5.47,10.99
W75N,309.65,42.63,81.87,0.78,1300,-4.5,0.01,-0.96,0.01,-7.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.37,-11.47,-6.02,37.47,0.77,1.23,-0.53,3.68,1.23,37.47,239.77,1.23,0.16,9,242.68,1.05,1.18,1.58
DR21,309.76,42.42,81.75,0.59,1500,-4.74,0.01,-0.06,0.01,-19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.53,-24.33,-0.63,41.63,-12.09,6.62,-0.03,-8.3,6.62,41.63,226.91,6.62,0.18,-3,230.7,-1.16,6.7,6.8
DR20,309.25,41.58,80.86,0.38,1460,-5.84,0.01,-0.29,0.01,-19.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.76,-25.95,-2.14,47.86,-13.71,5.11,7.5,-8.8,5.11,47.86,225.29,5.11,0.18,-3,230.2,-8.8,5.16,10.2
IRAS20290+4052,307.71,41.04,79.74,0.99,1360,-5.02,0.02,-0.15,0.02,-18.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.57,-23.87,-1.29,39.67,-11.63,5.96,1.89,-8.2,5.96,39.67,227.37,5.96,0.16,-1.4,230.8,-3.32,6.1,6.94
